id,date,state_name,state_code,airport,freight
39,01-02-2022,Tamil Nadu,33,Chennai,19209
40,01-02-2022,Goa,30,Goa,97
41,01-02-2022,Jammu and Kashmir,1,Srinagar,0
42,01-02-2022,Odisha,21,Bhubaneswar,0
43,01-02-2022,Uttar Pradesh,9,Varanasi,8
44,01-02-2022,Kerala,32,Calicut,671
45,01-02-2022,Punjab,3,Amritsar,77
46,01-02-2022,Tamil Nadu,33,Coimbatore,71
47,01-02-2022,Andhra Pradesh,28,Vijayawada,0
48,01-02-2022,Manipur,14,Imphal,0
49,01-02-2022,Andaman and Nicobar Islands,35,Portblair,0
50,01-02-2022,Tamil Nadu,33,Trichy,500
51,01-02-2022,Andhra Pradesh,28,Tirupati,0
52,01-02-2022,Uttar Pradesh,9,Kushinagar,0
53,01-02-2022,Gujarat,24,Ahmedabad,4192
54,01-02-2022,Uttar Pradesh,9,Lucknow,217
55,01-02-2022,Karnataka,29,Manglore,114
56,01-02-2022,Assam,18,Guwahati,0
57,01-02-2022,Rajasthan,8,Jaipur,16
58,01-02-2022,Kerala,32,Trivandrum,1124
59,01-02-2022,Delhi,7,Delhi,43246
60,01-02-2022,Maharashtra,27,Mumbai,41449
61,01-02-2022,Karnataka,29,Bangalore,20981
62,01-02-2022,Telangana,36,Hyderabad,6270
63,01-02-2022,Kerala,32,Cochin,3424
64,01-02-2022,Maharashtra,27,Nagpur,35
65,01-02-2022,Kerala,32,Kannur,409
66,01-02-2022,Bihar,10,Patna,0
67,01-02-2022,Maharashtra,27,Pune,0
68,01-02-2022,West Bengal,19,Bagdora,0
69,01-02-2022,Chandigarh,4,Chandigarh,0
70,01-02-2022,Andhra Pradesh,28,Visakhapatnam,6
71,01-02-2022,Madhya Pradesh,23,Indore,4
72,01-02-2022,Tamil Nadu,33,Madurai,51
73,01-02-2022,Gujarat,24,Surat,0
74,01-02-2022,Maharashtra,27,Aurangabad,0
75,01-02-2022,Bihar,10,Gaya,0
76,01-03-2022,West Bengal,19,Kolkata,4095
77,01-03-2022,Tamil Nadu,33,Chennai,24485
78,01-03-2022,Goa,30,Goa,111
79,01-03-2022,Jammu and Kashmir,1,Srinagar,0
80,01-03-2022,Odisha,21,Bhubaneswar,0
81,01-03-2022,Uttar Pradesh,9,Varanasi,2
82,01-03-2022,Kerala,32,Calicut,811
83,01-03-2022,Punjab,3,Amritsar,78
84,01-03-2022,Tamil Nadu,33,Coimbatore,85
85,01-03-2022,Andhra Pradesh,28,Vijayawada,0
86,01-03-2022,Manipur,14,Imphal,0
87,01-03-2022,Andaman and Nicobar Islands,35,Portblair,0
88,01-03-2022,Tamil Nadu,33,Trichy,555
89,01-03-2022,Andhra Pradesh,28,Tirupati,0
90,01-03-2022,Uttar Pradesh,9,Kushinagar,0
91,01-03-2022,Gujarat,24,Ahmedabad,4891
92,01-03-2022,Uttar Pradesh,9,Lucknow,256
93,01-03-2022,Karnataka,29,Manglore,135
94,01-03-2022,Assam,18,Guwahati,0
95,01-03-2022,Rajasthan,8,Jaipur,12
96,01-03-2022,Kerala,32,Trivandrum,1164
97,01-03-2022,Delhi,7,Delhi,52551
98,01-03-2022,Maharashtra,27,Mumbai,49468
99,01-03-2022,Karnataka,29,Bangalore,23843
100,01-03-2022,Telangana,36,Hyderabad,7148
101,01-03-2022,Kerala,32,Cochin,4284
102,01-03-2022,Maharashtra,27,Nagpur,3
103,01-03-2022,Kerala,32,Kannur,370
104,01-03-2022,Bihar,10,Patna,0
105,01-03-2022,Maharashtra,27,Pune,5
106,01-03-2022,West Bengal,19,Bagdora,0
107,01-03-2022,Chandigarh,4,Chandigarh,0
108,01-03-2022,Andhra Pradesh,28,Visakhapatnam,1
109,01-03-2022,Madhya Pradesh,23,Indore,8
110,01-03-2022,Tamil Nadu,33,Madurai,37
111,01-03-2022,Gujarat,24,Surat,0
112,01-03-2022,Maharashtra,27,Aurangabad,0
113,01-03-2022,Bihar,10,Gaya,0
114,01-04-2022,West Bengal,19,Kolkata,3570
115,01-04-2022,Tamil Nadu,33,Chennai,23249
116,01-04-2022,Goa,30,Goa,173
117,01-04-2022,Jammu and Kashmir,1,Srinagar,0
118,01-04-2022,Odisha,21,Bhubaneswar,0
119,01-04-2022,Uttar Pradesh,9,Varanasi,4
120,01-04-2022,Kerala,32,Calicut,863
121,01-04-2022,Punjab,3,Amritsar,142
122,01-04-2022,Tamil Nadu,33,Coimbatore,73
123,01-04-2022,Andhra Pradesh,28,Vijayawada,0
124,01-04-2022,Manipur,14,Imphal,0
125,01-04-2022,Andaman and Nicobar Islands,35,Portblair,0
126,01-04-2022,Tamil Nadu,33,Trichy,0
127,01-04-2022,Andhra Pradesh,28,Tirupati,517
128,01-04-2022,Uttar Pradesh,9,Kushinagar,0
129,01-04-2022,Gujarat,24,Ahmedabad,4184
130,01-04-2022,Uttar Pradesh,9,Lucknow,382
131,01-04-2022,Karnataka,29,Manglore,0
132,01-04-2022,Assam,18,Guwahati,16
133,01-04-2022,Rajasthan,8,Jaipur,1255
134,01-04-2022,Kerala,32,Trivandrum,195
135,01-04-2022,Delhi,7,Delhi,50844
136,01-04-2022,Maharashtra,27,Mumbai,46532
137,01-04-2022,Karnataka,29,Bangalore,20416
138,01-04-2022,Telangana,36,Hyderabad,6627
139,01-04-2022,Kerala,32,Cochin,5172
140,01-04-2022,Maharashtra,27,Nagpur,12
141,01-04-2022,Kerala,32,Kannur,299
142,01-04-2022,Bihar,10,Patna,5
143,01-04-2022,Maharashtra,27,Pune,0
144,01-05-2022,West Bengal,19,Bagdora,0
145,01-05-2022,Chandigarh,4,Chandigarh,0
146,01-05-2022,Andhra Pradesh,28,Visakhapatnam,9
147,01-05-2022,Madhya Pradesh,23,Indore,3
148,01-05-2022,Tamil Nadu,33,Madurai,0
149,01-05-2022,Gujarat,24,Surat,113
150,01-05-2022,Maharashtra,27,Aurangabad,0
151,01-05-2022,Bihar,10,Gaya,0
152,01-05-2022,West Bengal,19,Kolkata,2843
153,01-05-2022,Tamil Nadu,33,Chennai,22267
154,01-05-2022,Goa,30,Goa,205
155,01-05-2022,Jammu and Kashmir,1,Srinagar,0
156,01-05-2022,Odisha,21,Bhubaneswar,0
157,01-05-2022,Uttar Pradesh,9,Varanasi,3
158,01-05-2022,Kerala,32,Calicut,987
159,01-05-2022,Punjab,3,Amritsar,136
160,01-05-2022,Tamil Nadu,33,Coimbatore,68
161,01-05-2022,Andhra Pradesh,28,Vijayawada,0
162,01-05-2022,Manipur,14,Imphal,0
163,01-05-2022,Andaman and Nicobar Islands,35,Portblair,0
164,01-05-2022,Tamil Nadu,33,Trichy,0
165,01-05-2022,Andhra Pradesh,28,Tirupati,508
166,01-05-2022,Uttar Pradesh,9,Kushinagar,0
167,01-05-2022,Gujarat,24,Ahmedabad,4145
168,01-05-2022,Uttar Pradesh,9,Lucknow,252
169,01-05-2022,Karnataka,29,Manglore,0
170,01-05-2022,Assam,18,Guwahati,17
171,01-05-2022,Rajasthan,8,Jaipur,1094
172,01-05-2022,Kerala,32,Trivandrum,143
173,01-05-2022,Delhi,7,Delhi,46085
174,01-05-2022,Maharashtra,27,Mumbai,46032
175,01-05-2022,Karnataka,29,Bangalore,21492
176,01-05-2022,Telangana,36,Hyderabad,6135
177,01-05-2022,Kerala,32,Cochin,3768
178,01-05-2022,Maharashtra,27,Nagpur,4
179,01-05-2022,Kerala,32,Kannur,340
180,01-05-2022,Bihar,10,Patna,4
181,01-05-2022,Maharashtra,27,Pune,0
182,01-05-2022,Andhra Pradesh,28,Visakhapatnam,1
183,01-05-2022,Madhya Pradesh,23,Indore,1
184,01-05-2022,Gujarat,24,Surat,116
185,01-01-2021,West Bengal,19,Kolkata,3512
186,01-01-2021,Tamil Nadu,33,Chennai,21525
187,01-01-2021,Goa,30,Goa,9
188,01-01-2021,Jammu and Kashmir,1,Srinagar,0
189,01-01-2021,Odisha,21,Bhubaneswar,0
190,01-01-2021,Uttar Pradesh,9,Varanasi,3
191,01-01-2021,Kerala,32,Calicut,607
192,01-01-2021,Punjab,3,Amritsar,34
193,01-01-2021,Tamil Nadu,33,Coimbatore,43
194,01-01-2021,Andhra Pradesh,28,Vijayawada,0
195,01-01-2021,Manipur,14,Imphal,0
196,01-01-2021,Andaman and Nicobar Islands,35,Portblair,0
197,01-01-2021,Tamil Nadu,33,Trichy,276
198,01-01-2021,Andhra Pradesh,28,Tirupati,0
199,01-01-2021,Uttar Pradesh,9,Kushinagar,0
200,01-01-2021,Gujarat,24,Ahmedabad,3031
201,01-01-2021,Uttar Pradesh,9,Lucknow,61
202,01-01-2021,Karnataka,29,Manglore,28
203,01-01-2021,Assam,18,Guwahati,0
204,01-01-2021,Rajasthan,8,Jaipur,63
205,01-01-2021,Kerala,32,Trivandrum,992
206,01-01-2021,Delhi,7,Delhi,43810
207,01-01-2021,Maharashtra,27,Mumbai,41721
208,01-01-2021,Karnataka,29,Bangalore,19259
209,01-01-2021,Telangana,36,Hyderabad,5892
210,01-01-2021,Kerala,32,Cochin,2708
211,01-01-2021,Maharashtra,27,Nagpur,0
212,01-01-2021,Kerala,32,Kannur,0
213,01-01-2021,Bihar,10,Patna,0
214,01-01-2021,Maharashtra,27,Pune,0
215,01-01-2021,West Bengal,19,Bagdora,0
216,01-01-2021,Chandigarh,4,Chandigarh,0
217,01-01-2021,Andhra Pradesh,28,Visakhapatnam,1
218,01-01-2021,Madhya Pradesh,23,Indore,11
219,01-01-2021,Tamil Nadu,33,Madurai,33
220,01-01-2021,Gujarat,24,Surat,0
221,01-01-2021,Maharashtra,27,Aurangabad,0
222,01-01-2021,Bihar,10,Gaya,0
223,01-02-2021,West Bengal,19,Kolkata,2969
224,01-02-2021,Tamil Nadu,33,Chennai,21769
225,01-02-2021,Goa,30,Goa,5
226,01-02-2021,Jammu and Kashmir,1,Srinagar,0
227,01-02-2021,Odisha,21,Bhubaneswar,0
228,01-02-2021,Uttar Pradesh,9,Varanasi,1
229,01-02-2021,Kerala,32,Calicut,603
230,01-02-2021,Punjab,3,Amritsar,35
231,01-02-2021,Tamil Nadu,33,Coimbatore,43
232,01-02-2021,Andhra Pradesh,28,Vijayawada,0
233,01-02-2021,Manipur,14,Imphal,0
234,01-02-2021,Andaman and Nicobar Islands,35,Portblair,0
235,01-02-2021,Tamil Nadu,33,Trichy,307
236,01-02-2021,Andhra Pradesh,28,Tirupati,0
237,01-02-2021,Uttar Pradesh,9,Kushinagar,0
238,01-02-2021,Gujarat,24,Ahmedabad,3189
239,01-02-2021,Uttar Pradesh,9,Lucknow,130
240,01-02-2021,Karnataka,29,Manglore,18
241,01-02-2021,Assam,18,Guwahati,0
242,01-02-2021,Rajasthan,8,Jaipur,12
243,01-02-2021,Kerala,32,Trivandrum,902
244,01-02-2021,Delhi,7,Delhi,43318
245,01-02-2021,Maharashtra,27,Mumbai,44209
246,01-02-2021,Karnataka,29,Bangalore,19060
247,01-02-2021,Telangana,36,Hyderabad,6248
248,01-02-2021,Kerala,32,Cochin,2758
249,01-02-2021,Maharashtra,27,Nagpur,3
250,01-02-2021,Kerala,32,Kannur,0
251,01-02-2021,Bihar,10,Patna,0
252,01-02-2021,Maharashtra,27,Pune,0
253,01-02-2021,West Bengal,19,Bagdora,0
254,01-02-2021,Chandigarh,4,Chandigarh,0
255,01-02-2021,Andhra Pradesh,28,Visakhapatnam,0
256,01-02-2021,Madhya Pradesh,23,Indore,7
257,01-02-2021,Tamil Nadu,33,Madurai,28
258,01-02-2021,Gujarat,24,Surat,0
259,01-02-2021,Maharashtra,27,Aurangabad,0
260,01-02-2021,Bihar,10,Gaya,0
261,01-03-2021,West Bengal,19,Kolkata,4201
262,01-03-2021,Tamil Nadu,33,Chennai,26770
263,01-03-2021,Goa,30,Goa,4
264,01-03-2021,Jammu and Kashmir,1,Srinagar,0
265,01-03-2021,Odisha,21,Bhubaneswar,0
266,01-03-2021,Uttar Pradesh,9,Varanasi,0
267,01-03-2021,Kerala,32,Calicut,643
268,01-03-2021,Punjab,3,Amritsar,43
269,01-03-2021,Tamil Nadu,33,Coimbatore,68
270,01-03-2021,Andhra Pradesh,28,Vijayawada,0
271,01-03-2021,Manipur,14,Imphal,0
272,01-03-2021,Andaman and Nicobar Islands,35,Portblair,0
273,01-03-2021,Tamil Nadu,33,Trichy,414
274,01-03-2021,Andhra Pradesh,28,Tirupati,0
275,01-03-2021,Uttar Pradesh,9,Kushinagar,0
276,01-03-2021,Gujarat,24,Ahmedabad,3684
277,01-03-2021,Uttar Pradesh,9,Lucknow,90
278,01-03-2021,Karnataka,29,Manglore,58
279,01-03-2021,Assam,18,Guwahati,0
280,01-03-2021,Rajasthan,8,Jaipur,20
281,01-03-2021,Kerala,32,Trivandrum,1132
282,01-03-2021,Delhi,7,Delhi,51631
283,01-03-2021,Maharashtra,27,Mumbai,51579
284,01-03-2021,Karnataka,29,Bangalore,21966
285,01-03-2021,Telangana,36,Hyderabad,6796
286,01-03-2021,Kerala,32,Cochin,3324
287,01-03-2021,Maharashtra,27,Nagpur,0
288,01-03-2021,Kerala,32,Kannur,0
289,01-03-2021,Bihar,10,Patna,0
290,01-03-2021,Maharashtra,27,Pune,0
291,01-03-2021,West Bengal,19,Bagdora,0
292,01-03-2021,Chandigarh,4,Chandigarh,0
293,01-03-2021,Andhra Pradesh,28,Visakhapatnam,0
294,01-03-2021,Madhya Pradesh,23,Indore,10
295,01-03-2021,Tamil Nadu,33,Madurai,34
296,01-03-2021,Gujarat,24,Surat,0
297,01-03-2021,Maharashtra,27,Aurangabad,0
298,01-03-2021,Bihar,10,Gaya,0
299,01-04-2021,West Bengal,19,Kolkata,3446
300,01-04-2021,Tamil Nadu,33,Chennai,24447
301,01-04-2021,Goa,30,Goa,13
302,01-04-2021,Jammu and Kashmir,1,Srinagar,0
303,01-04-2021,Odisha,21,Bhubaneswar,0
304,01-04-2021,Uttar Pradesh,9,Varanasi,0
305,01-04-2021,Kerala,32,Calicut,753
306,01-04-2021,Punjab,3,Amritsar,51
307,01-04-2021,Tamil Nadu,33,Coimbatore,66
308,01-04-2021,Andhra Pradesh,28,Vijayawada,0
309,01-04-2021,Manipur,14,Imphal,0
310,01-04-2021,Andaman and Nicobar Islands,35,Portblair,0
311,01-04-2021,Tamil Nadu,33,Trichy,0
312,01-04-2021,Andhra Pradesh,28,Tirupati,337
313,01-04-2021,Uttar Pradesh,9,Kushinagar,0
314,01-04-2021,Gujarat,24,Ahmedabad,3950
315,01-04-2021,Uttar Pradesh,9,Lucknow,193
316,01-04-2021,Karnataka,29,Manglore,0
317,01-04-2021,Assam,18,Guwahati,14
318,01-04-2021,Rajasthan,8,Jaipur,1267
319,01-04-2021,Kerala,32,Trivandrum,86
320,01-04-2021,Delhi,7,Delhi,50752
321,01-04-2021,Maharashtra,27,Mumbai,49757
322,01-04-2021,Karnataka,29,Bangalore,21743
323,01-04-2021,Telangana,36,Hyderabad,5604
324,01-04-2021,Kerala,32,Cochin,3610
325,01-04-2021,Maharashtra,27,Nagpur,0
326,01-04-2021,Kerala,32,Kannur,0
327,01-04-2021,Bihar,10,Patna,0
328,01-04-2021,Maharashtra,27,Pune,0
329,01-04-2021,West Bengal,19,Bagdora,0
330,01-04-2021,Chandigarh,4,Chandigarh,0
331,01-04-2021,Andhra Pradesh,28,Visakhapatnam,7
332,01-04-2021,Madhya Pradesh,23,Indore,2
333,01-04-2021,Tamil Nadu,33,Madurai,0
334,01-04-2021,Gujarat,24,Surat,50
335,01-04-2021,Maharashtra,27,Aurangabad,0
336,01-04-2021,Bihar,10,Gaya,0
337,01-05-2021,West Bengal,19,Kolkata,2773
338,01-05-2021,Tamil Nadu,33,Chennai,22160
339,01-05-2021,Goa,30,Goa,1
340,01-05-2021,Jammu and Kashmir,1,Srinagar,0
341,01-05-2021,Odisha,21,Bhubaneswar,31
342,01-05-2021,Uttar Pradesh,9,Varanasi,0
343,01-05-2021,Kerala,32,Calicut,559
344,01-05-2021,Punjab,3,Amritsar,40
345,01-05-2021,Tamil Nadu,33,Coimbatore,57
346,01-05-2021,Andhra Pradesh,28,Vijayawada,0
347,01-05-2021,Manipur,14,Imphal,0
348,01-05-2021,Andaman and Nicobar Islands,35,Portblair,0
349,01-05-2021,Tamil Nadu,33,Trichy,0
350,01-05-2021,Andhra Pradesh,28,Tirupati,249
351,01-05-2021,Uttar Pradesh,9,Kushinagar,0
352,01-05-2021,Gujarat,24,Ahmedabad,3996
353,01-05-2021,Uttar Pradesh,9,Lucknow,145
354,01-05-2021,Karnataka,29,Manglore,0
355,01-05-2021,Assam,18,Guwahati,18
356,01-05-2021,Rajasthan,8,Jaipur,1300
357,01-05-2021,Kerala,32,Trivandrum,38
358,01-05-2021,Delhi,7,Delhi,53998
359,01-05-2021,Maharashtra,27,Mumbai,48664
360,01-05-2021,Karnataka,29,Bangalore,20926
361,01-05-2021,Telangana,36,Hyderabad,6192
362,01-05-2021,Kerala,32,Cochin,3058
363,01-05-2021,Maharashtra,27,Nagpur,0
364,01-05-2021,Kerala,32,Kannur,0
365,01-05-2021,Bihar,10,Patna,0
366,01-05-2021,Maharashtra,27,Pune,0
367,01-05-2021,West Bengal,19,Bagdora,0
368,01-05-2021,Chandigarh,4,Chandigarh,0
369,01-05-2021,Andhra Pradesh,28,Visakhapatnam,3
370,01-05-2021,Madhya Pradesh,23,Indore,7
371,01-05-2021,Tamil Nadu,33,Madurai,0
372,01-05-2021,Gujarat,24,Surat,27
373,01-05-2021,Maharashtra,27,Aurangabad,0
374,01-05-2021,Bihar,10,Gaya,0
375,01-06-2021,West Bengal,19,Kolkata,3281
376,01-06-2021,Tamil Nadu,33,Chennai,21786
377,01-06-2021,Goa,30,Goa,1
378,01-06-2021,Jammu and Kashmir,1,Srinagar,0
379,01-06-2021,Odisha,21,Bhubaneswar,0
380,01-06-2021,Uttar Pradesh,9,Varanasi,0
381,01-06-2021,Kerala,32,Calicut,477
382,01-06-2021,Punjab,3,Amritsar,39
383,01-06-2021,Tamil Nadu,33,Coimbatore,39
384,01-06-2021,Andhra Pradesh,28,Vijayawada,0
385,01-06-2021,Manipur,14,Imphal,0
386,01-06-2021,Andaman and Nicobar Islands,35,Portblair,0
387,01-06-2021,Tamil Nadu,33,Trichy,350
388,01-06-2021,Andhra Pradesh,28,Tirupati,0
389,01-06-2021,Uttar Pradesh,9,Kushinagar,0
390,01-06-2021,Gujarat,24,Ahmedabad,4031
391,01-06-2021,Uttar Pradesh,9,Lucknow,89
392,01-06-2021,Karnataka,29,Manglore,32
393,01-06-2021,Assam,18,Guwahati,5
394,01-06-2021,Rajasthan,8,Jaipur,17
395,01-06-2021,Kerala,32,Trivandrum,1227
396,01-06-2021,Delhi,7,Delhi,49720
397,01-06-2021,Maharashtra,27,Mumbai,46465
398,01-06-2021,Karnataka,29,Bangalore,20666
399,01-06-2021,Telangana,36,Hyderabad,6196
400,01-06-2021,Kerala,32,Cochin,2903
401,01-06-2021,Maharashtra,27,Nagpur,0
402,01-06-2021,Kerala,32,Kannur,0
403,01-06-2021,Bihar,10,Patna,0
404,01-06-2021,Maharashtra,27,Pune,0
405,01-06-2021,West Bengal,19,Bagdora,0
406,01-06-2021,Chandigarh,4,Chandigarh,0
407,01-06-2021,Andhra Pradesh,28,Visakhapatnam,0
408,01-06-2021,Madhya Pradesh,23,Indore,8
409,01-06-2021,Tamil Nadu,33,Madurai,0
410,01-06-2021,Gujarat,24,Surat,0
411,01-06-2021,Maharashtra,27,Aurangabad,0
412,01-06-2021,Bihar,10,Gaya,0
413,01-07-2021,West Bengal,19,Kolkata,3516
414,01-07-2021,Tamil Nadu,33,Chennai,24312
415,01-07-2021,Goa,30,Goa,2
416,01-07-2021,Jammu and Kashmir,1,Srinagar,0
417,01-07-2021,Odisha,21,Bhubaneswar,0
418,01-07-2021,Uttar Pradesh,9,Varanasi,0
419,01-07-2021,Kerala,32,Calicut,606
420,01-07-2021,Punjab,3,Amritsar,47
421,01-07-2021,Tamil Nadu,33,Coimbatore,76
422,01-07-2021,Andhra Pradesh,28,Vijayawada,0
423,01-07-2021,Manipur,14,Imphal,0
424,01-07-2021,Andaman and Nicobar Islands,35,Portblair,0
425,01-07-2021,Tamil Nadu,33,Trichy,351
426,01-07-2021,Andhra Pradesh,28,Tirupati,0
427,01-07-2021,Uttar Pradesh,9,Kushinagar,0
428,01-07-2021,Gujarat,24,Ahmedabad,3837
429,01-07-2021,Uttar Pradesh,9,Lucknow,73
430,01-07-2021,Karnataka,29,Manglore,65
431,01-07-2021,Assam,18,Guwahati,28
432,01-07-2021,Rajasthan,8,Jaipur,18
433,01-07-2021,Kerala,32,Trivandrum,1372
434,01-07-2021,Delhi,7,Delhi,48970
435,01-07-2021,Maharashtra,27,Mumbai,45560
436,01-07-2021,Karnataka,29,Bangalore,22758
437,01-07-2021,Telangana,36,Hyderabad,6429
438,01-07-2021,Kerala,32,Cochin,3821
439,01-07-2021,Maharashtra,27,Nagpur,56
440,01-07-2021,Kerala,32,Kannur,0
441,01-07-2021,Bihar,10,Patna,0
442,01-07-2021,Maharashtra,27,Pune,0
443,01-07-2021,West Bengal,19,Bagdora,0
444,01-07-2021,Chandigarh,4,Chandigarh,0
445,01-07-2021,Andhra Pradesh,28,Visakhapatnam,0
446,01-07-2021,Madhya Pradesh,23,Indore,0
447,01-07-2021,Tamil Nadu,33,Madurai,7
448,01-07-2021,Gujarat,24,Surat,0
449,01-07-2021,Maharashtra,27,Aurangabad,0
450,01-07-2021,Bihar,10,Gaya,0
451,01-08-2021,West Bengal,19,Kolkata,3096
452,01-08-2021,Tamil Nadu,33,Chennai,24083
453,01-08-2021,Goa,30,Goa,15
454,01-08-2021,Jammu and Kashmir,1,Srinagar,0
455,01-08-2021,Odisha,21,Bhubaneswar,0
456,01-08-2021,Uttar Pradesh,9,Varanasi,0
457,01-08-2021,Kerala,32,Calicut,881
458,01-08-2021,Punjab,3,Amritsar,84
459,01-08-2021,Tamil Nadu,33,Coimbatore,54
460,01-08-2021,Andhra Pradesh,28,Vijayawada,0
461,01-08-2021,Manipur,14,Imphal,0
462,01-08-2021,Andaman and Nicobar Islands,35,Portblair,0
463,01-08-2021,Tamil Nadu,33,Trichy,404
464,01-08-2021,Andhra Pradesh,28,Tirupati,0
465,01-08-2021,Uttar Pradesh,9,Kushinagar,0
466,01-08-2021,Gujarat,24,Ahmedabad,3754
467,01-08-2021,Uttar Pradesh,9,Lucknow,162
468,01-08-2021,Karnataka,29,Manglore,83
469,01-08-2021,Assam,18,Guwahati,11
470,01-08-2021,Rajasthan,8,Jaipur,17
471,01-08-2021,Kerala,32,Trivandrum,1555
472,01-08-2021,Delhi,7,Delhi,48488
473,01-08-2021,Maharashtra,27,Mumbai,44782
474,01-08-2021,Karnataka,29,Bangalore,24316
475,01-08-2021,Telangana,36,Hyderabad,6004
476,01-08-2021,Kerala,32,Cochin,3783
477,01-08-2021,Maharashtra,27,Nagpur,48
478,01-08-2021,Kerala,32,Kannur,0
479,01-08-2021,Bihar,10,Patna,0
480,01-08-2021,Maharashtra,27,Pune,0
481,01-08-2021,West Bengal,19,Bagdora,0
482,01-08-2021,Chandigarh,4,Chandigarh,0
483,01-08-2021,Andhra Pradesh,28,Visakhapatnam,1
484,01-08-2021,Madhya Pradesh,23,Indore,2
485,01-08-2021,Tamil Nadu,33,Madurai,0
486,01-08-2021,Gujarat,24,Surat,0
487,01-08-2021,Maharashtra,27,Aurangabad,0
488,01-08-2021,Bihar,10,Gaya,0
489,01-09-2021,West Bengal,19,Kolkata,5027
490,01-09-2021,Tamil Nadu,33,Chennai,26780
491,01-09-2021,Goa,30,Goa,58
492,01-09-2021,Jammu and Kashmir,1,Srinagar,0
493,01-09-2021,Odisha,21,Bhubaneswar,0
494,01-09-2021,Uttar Pradesh,9,Varanasi,0
495,01-09-2021,Kerala,32,Calicut,977
496,01-09-2021,Punjab,3,Amritsar,86
497,01-09-2021,Tamil Nadu,33,Coimbatore,70
498,01-09-2021,Andhra Pradesh,28,Vijayawada,0
499,01-09-2021,Manipur,14,Imphal,0
500,01-09-2021,Andaman and Nicobar Islands,35,Portblair,0
501,01-09-2021,Tamil Nadu,33,Trichy,416
502,01-09-2021,Andhra Pradesh,28,Tirupati,0
503,01-09-2021,Uttar Pradesh,9,Kushinagar,0
504,01-09-2021,Gujarat,24,Ahmedabad,3548
505,01-09-2021,Uttar Pradesh,9,Lucknow,287
506,01-09-2021,Karnataka,29,Manglore,168
507,01-09-2021,Assam,18,Guwahati,0
508,01-09-2021,Rajasthan,8,Jaipur,17
509,01-09-2021,Kerala,32,Trivandrum,1307
510,01-09-2021,Delhi,7,Delhi,50332
511,01-09-2021,Maharashtra,27,Mumbai,46010
512,01-09-2021,Karnataka,29,Bangalore,24440
513,01-09-2021,Telangana,36,Hyderabad,6304
514,01-09-2021,Kerala,32,Cochin,3911
515,01-09-2021,Maharashtra,27,Nagpur,32
516,01-09-2021,Kerala,32,Kannur,0
517,01-09-2021,Bihar,10,Patna,0
518,01-09-2021,Maharashtra,27,Pune,0
519,01-09-2021,West Bengal,19,Bagdora,0
520,01-09-2021,Chandigarh,4,Chandigarh,0
521,01-09-2021,Andhra Pradesh,28,Visakhapatnam,1
522,01-09-2021,Madhya Pradesh,23,Indore,10
523,01-09-2021,Tamil Nadu,33,Madurai,5
524,01-09-2021,Gujarat,24,Surat,0
525,01-09-2021,Maharashtra,27,Aurangabad,0
526,01-09-2021,Bihar,10,Gaya,0
527,01-10-2021,West Bengal,19,Kolkata,5460
528,01-10-2021,Tamil Nadu,33,Chennai,25604
529,01-10-2021,Goa,30,Goa,112
530,01-10-2021,Jammu and Kashmir,1,Srinagar,0
531,01-10-2021,Odisha,21,Bhubaneswar,0
